2022 ESBRU
2022-10-6

250
1,WAI CHING SOH,,*M,10:44:00 AM
2,RYOJI WATANABE,,*M,10:57:00 AM
3,FABIO RUGA,,*M,11:19:00 AM
1,GOERGE HEIMANN,,*M,11:40:00 AM
1,OMAR BEKKALI,,*M,12:03:00 PM
2,SPROULE LOVE,,M,12:17:00 PM
1,COLE HETZEL,,M,12:20:00 PM
2,DAVID ROESKE,,M,12:59:00 PM
1,THOMAS BARLOW,,M,01:00:00 PM
1,JASON LARSON,,M,01:05:00 PM
3,MARTIN PEDERSEN,,*M,01:18:00 PM
2,DAVID KILGORE,,M,01:20:00 PM
3,MARK HENDERSON,,M,01:31:00 PM
1,CINDY HARRIS,,F,01:56:00 PM
2,SHARI KLARFELD,,F,02:00:00 PM
4,MARK EWELL,,M,02:10:00 PM
4,STEPHEN MARSALESE,,M,02:17:00 PM
1,MONICA CARL,,F,02:33:00 PM
3,MARIA ELISA LOPEZ PIMENTEL,,*F,02:39:00 PM
2,STEPHEN LOCE,,M,02:41:00 PM
3,LUKE HOLMAN,,M,02:47:00 PM
3,ANTHONY CAMERADA,,M,02:49:00 PM
4,PETER BOZZO,,M,02:50:00 PM
1,KAMILA CHOMANICOVA,,*F,02:51:00 PM
4,JUSTIN PEROFF,,M,02:56:00 PM
1,ROSALYN RUSSELL,,F,03:02:00 PM
5,GARY PESOLA,,M,03:16:00 PM
1,MEG SANTANNA,,F,03:18:00 PM
5,MARK ELLIS,,M,03:27:00 PM
6,IAN CARR,,M,03:28:00 PM
6,JULIAN SHAPIRO-BARNUM,,M,03:29:00 PM
7,DANIEL ARMSTRONG,,M,03:33:00 PM
5,DAVID TROMP,,M,03:43:00 PM
6,MATTHEW WEISS,,M,03:48:00 PM
2,PIRET POLDSAAR,,F,03:52:00 PM
7,DON SALADINO,,M,03:54:00 PM
8,BENJAMIN SAAH,,M,03:58:00 PM
8,JOSH JACKETT,,M,04:00:00 PM
9,JULIEN VIGNAL,,M,04:02:00 PM
2,VERITY REES,,F,04:04:00 PM
7,CONNOR FRAGEN,,M,04:04:00 PM
2,TRICIA O'HARA,,F,04:10:00 PM
10,BEN ROSS,,M,04:10:00 PM
5,RICK CHANN,,M,04:11:00 PM
9,CHARLIE O'DONNELL,,M,04:11:00 PM
8,LUKE TOBELER,,M,04:16:00 PM
11,RICHARD RAMIREZ,,M,04:19:00 PM
10,DAVID HARRIS,,M,04:22:00 PM
12,CONNOR WALTERS,,M,04:24:00 PM
1,HAL CARLSON,70,M,04:27:00 PM
13,CHRISTIAN WEISSPFENNIG,,M,04:29:00 PM
9,KYLE YAN,,M,04:37:00 PM
6,RODOLFO NUNEZ,,M,04:40:00 PM
14,YANIV SCHULMAN,,M,04:45:00 PM
3,JILL PAHA,,F,04:49:00 PM
2,ABIGAIL SHOEMAKER,,F,04:50:00 PM
3,CAITRIONA SAUNDERS,,F,04:53:00 PM
11,JEFFREY MUNOZ,,M,05:01:00 PM
12,DENNIS YT,,M,05:09:00 PM
7,RUSSELL MACKIE,,M,05:11:00 PM
15,ERIK PINDROCK,,M,05:12:00 PM
8,KARIM DEMIRDACHE,,M,05:13:00 PM
13,AARON SHIMMONS,,M,05:16:00 PM
10,ZHOUHAN CHEN,,M,05:17:00 PM
16,BENJAMIN HERMANN,,M,05:17:00 PM
14,TIM CARVIN,,M,05:19:00 PM
9,TODD ARNDORFER,,M,05:24:00 PM
10,CHRIS VAN GLAHN,,M,05:25:00 PM
15,GREG STERN,,M,05:29:00 PM
4,JENNIFER MCCLURE,,F,05:30:00 PM
11,TOM LETSON,,M,05:32:00 PM
3,CAMILLA OPPERMAN,,F,05:35:00 PM
16,MARC SANTANA,,M,05:35:00 PM
17,MORGAN JOHNSON,,M,05:37:00 PM
17,MICHAEL DALY,,M,05:42:00 PM
18,MATT CONEYBEARE,,M,05:43:00 PM
11,BRIAN NEWBORN,,M,05:48:00 PM
19,ANDRE RADZIM,,M,05:50:00 PM
12,TONI SANTISTEBAN,,M,05:52:00 PM
13,BILLY JOHNSON,,M,05:53:00 PM
3,LYNDA LIMERICK,,F,05:53:00 PM
12,JORDAN RUTTENBERG,,M,05:53:00 PM
5,TAMMY LOCKE,,F,05:58:00 PM
18,TED DOYLE,,M,06:00:00 PM
13,SEAN SLATTERY,,M,06:02:00 PM
6,REDA JOSIFI,,F,06:03:00 PM
7,ROSE WILLEY,,F,06:05:00 PM
19,GORAN VENDLENER,,M,06:09:00 PM
20,ERIC WINER,,M,06:12:00 PM
4,DEBBIE OFFICER,,F,06:13:00 PM
21,SCOTT RISING,,M,06:19:00 PM
20,FRANK OSBORN,,M,06:20:00 PM
22,DARSHAN MARKANDAIAH,,M,06:20:00 PM
23,MATTHEW GUTTILLA,,M,06:22:00 PM
14,MACKINLEY JENSEN,,M,06:24:00 PM
15,GABRIEL DUMOULIN,,M,06:24:00 PM
21,NICK WALSH,,M,06:28:00 PM
1,DUANE FRIESEN,,M,06:29:00 PM
24,MIKE PLATT,,M,06:30:00 PM
22,PANU HYPP̦NEN,,M,06:30:00 PM
16,ANDREW ALTSCHULER,,M,06:33:00 PM
25,JOSE DE LA CAMPA,,M,06:35:00 PM
4,MEGAN GIBNEY,,F,06:38:00 PM
26,EDWARD SCHNEIDER,,M,06:41:00 PM
27,ALBERTO ROSALES,,M,06:42:00 PM
28,MICHAEL OCKAY,,M,06:46:00 PM
29,CAMERON BREEN,,M,06:52:00 PM
30,MAXWELL WOLKIN,,M,06:54:00 PM
5,ANNIE WANG,,F,06:59:00 PM
5,TAMARA JACKSON,,F,07:06:00 PM
31,JUSTIN TWOREK,,M,07:08:00 PM
17,ADAM INFANTINO,,M,07:08:00 PM
23,ANTONIO D'ITRI,,M,07:08:00 PM
6,KC KENNEDY,,F,07:09:00 PM
14,FRANCK FERRARI,,M,07:11:00 PM
32,JAMES WALKER,,M,07:14:00 PM
33,NOEL BORGES,,M,07:21:00 PM
24,NARDY CHUNG,,M,07:24:00 PM
1,MATT HARRIS,,M,07:24:00 PM
6,JUAN DONG,,F,07:24:00 PM
34,DARWIN RECENTES,,M,07:25:00 PM
7,DEB ALZNER,,F,07:30:00 PM
18,HANNIBAL MIKSIS,,M,07:35:00 PM
4,LAUREL JONES,,F,07:40:00 PM
7,LAUREN SANGIOVANNI,,F,07:41:00 PM
8,SUSAN GLASER,,F,07:45:00 PM
25,RUSSELL RODIN,,M,07:50:00 PM
15,ADAM FRAGEN,,M,07:51:00 PM
26,JUSTIN DAVDA,,M,07:52:00 PM
35,NAM TRUONG,,M,07:54:00 PM
36,THIERRY PORCHET,,M,07:54:00 PM
27,MIGUEL GONZALEZ,,M,07:55:00 PM
28,RAMON SANTOS,,M,07:57:00 PM
19,JAY POSKITT,,M,07:57:00 PM
20,CURT OSBORNE,,M,08:00:00 PM
37,EITAN MORIANO,,M,08:03:00 PM
38,CHRISTOPHER MACFARLANE,,M,08:04:00 PM
21,KYLE CASEY,,M,08:07:00 PM
8,SABRINA SCHUMM,,F,08:08:00 PM
9,JODIE GAULD,,F,08:14:00 PM
39,PETER SPAET,,M,08:17:00 PM
2,GREG WHALEN,,M,08:18:00 PM
40,WESLEY O'BRIEN,,M,08:19:00 PM
5,ZILIN WANG,,F,08:19:00 PM
22,MATTHEW EBERHARDT,,M,08:19:00 PM
41,LAWRENCE WASSER,,M,08:26:00 PM
6,KATIE FEY,,F,08:26:00 PM
9,TATIANA NASSY,,F,08:27:00 PM
29,JASON COPE,,M,08:29:00 PM
10,KELLY WORRELL,,F,08:29:00 PM
3,SCOTT PETERSON,,M,08:30:00 PM
16,RICK BREWER,,M,08:30:00 PM
7,CATHERINE DENG,,F,08:30:00 PM
17,GARY ROSS,,M,08:31:00 PM
42,CHARLES THORP,,M,08:32:00 PM
30,MICHAEL GIELBEDA,,M,08:33:00 PM
23,WILL OWEN,,M,08:36:00 PM
43,NOAH RILEY,,M,08:40:00 PM
44,TERENCE ZEIGLER,,M,08:40:00 PM
31,SETH SCHNEIDER,,M,08:43:00 PM
32,JEFF MANGIAPANE,,M,08:47:00 PM
18,JOHN HIGGINS,,M,08:53:00 PM
11,TANYA JENKO,,F,08:54:00 PM
24,BRANDON SONODA,,M,08:57:00 PM
19,RICHARD HAUSER,,M,08:58:00 PM
45,JURIY ZAYTSEV,,M,08:58:00 PM
10,KIMBERLY YEE,,F,08:59:00 PM
46,RICKY NGUYEN,,M,09:01:00 PM
33,DAN BOZEK,,M,09:01:00 PM
34,PETER REYES,,M,09:01:00 PM
35,STUART LEACH,,M,09:03:00 PM
36,XI YUAN,,M,09:08:00 PM
47,JOE MOLINARI,,M,09:08:00 PM
48,DMITRY YAKOVLEV,,M,09:10:00 PM
20,KEN MYERS,,M,09:13:00 PM
12,MINERVA HERNANDEZ,,F,09:13:00 PM
11,CALLEE HEYWOOD,,F,09:14:00 PM
25,ALEX GRENCE,,M,09:15:00 PM
13,ERICA SILBERSTEIN,,F,09:16:00 PM
21,CHRISTIAN POLZER,,M,09:17:00 PM
1,XINGYI CHEN,,NB/GNC,09:17:00 PM
26,WILL LINENDOLL,,M,09:23:00 PM
12,AOIFE-ROISIN BOURKE,,F,09:24:00 PM
27,CHRISTIAN METZLER,,M,09:30:00 PM
22,MIKE CORNWELL,,M,09:34:00 PM
28,GLEN PESOLA,,M,09:38:00 PM
37,MARK SNYDER,,M,09:41:00 PM
23,MICHAEL HETZEL,,M,09:41:00 PM
49,THOMAS WU,,M,09:46:00 PM
8,DOMINICA POTENZA,,F,09:47:00 PM
13,ABBY RICKARDS,,F,09:50:00 PM
14,KIRSTEN LAJOIE,,F,09:52:00 PM
14,NATALIE BURROWES,,F,09:53:00 PM
15,REBECCA CAESER,,F,09:56:00 PM
16,TAYLER COVINGTON,,F,09:58:00 PM
38,CARLOS GONZALEZ DE COSIO,,M,10:02:00 PM
17,DANA SCHAEFFER,,F,10:03:00 PM
50,BEN HUTCHINSON,,M,10:03:00 PM
39,NEIL SETH,,M,10:03:00 PM
40,CORNELIUS BEKKER,,M,10:05:00 PM
51,DANIEL ASIS,,M,10:09:00 PM
8,MOYA CHEN,,F,10:11:00 PM
