Raleigh 2017 power hour
2017-4-25

50
47,JOSH JACKETT,37,M,8,04:36.3,04:55.4,05:17.4,05:37.2,05:53.2,05:51.3,06:01.9,05:42.0,43:54.7
50,BRIAN ZAMBONI,43,M,8,04:09.9,05:03.1,05:35.8,05:59.6,06:18.9,06:22.1,06:41.0,06:44.7,46:54.8
49,ANDREA THOMPSON,33,F,6,06:36.0,07:15.8,08:08.8,08:54.0,09:20.6,09:14.7,,,49:29.9
