oakbrook 2019
2019-2-10

50
  29, Enzo Bondi,,m,   16:23,   16:26,   17:14,   17:08,   16:55, 1:24:06,,,,,,,
  48, Emily Czuba,,f,    7:25,   10:36,   10:47,   11:12,   40:00,,,,,,,,
  58, Mike Sassone,,m,    9:34,   11:17,   12:47,   11:04,   44:42,,,,,,,,
  28, Jason Monaco,,m,    7:53,    7:20,    8:31,   30:31,   54:15,,,,,,,,
  56, Greg Sallese,,m,    8:20,    8:58,    9:14,   26:32,,,,,,,,,
  43, Debbie Breit,,f,   12:58,   21:42,   20:48,   55:28,,,,,,,,,
  74, Sarah Bird,,f,    9:18,   10:56,   20:14,,,,,,,,,,
  51, Andrea Vojik,,f,    9:33,   10:56,   20:29,,,,,,,,,,
  49, Jamie Horner,,m,   11:02,   30:39,   41:41,,,,,,,,,,
 521, Jostein Alvestad,,m,    4:52,    4:52,,,,,,,,,,,
  35, Maggie Murphy,,f,    7:41,    7:41,,,,,,,,,,,
